ChpVrsNdx,NumWrd,bPilcrow,PText,RText,Footnote
27154,14,0,"And a fire was kindled in their company; the flame burned up the wicked.","And a fire was kindled in their company; the flame burned up the wicked.",""
27155,11,0,"They made a calf in Horeb, and worshipped the molten image.","They made a calf in Horeb, and worshipped the molten image.",""
27156,14,0,"Thus they changed their glory into the similitude of an ox that eateth grass.","Thus they changed their glory into the similitude of an ox that eateth grass.",""
27157,12,0,"They forgat God their saviour, which had done great things in Egypt;","They forgat God their saviour, which had done great things in Egypt;",""
27158,14,0,"Wondrous works in the land of Ham, and terrible things by the Red sea.","Wondrous works in the land of Ham, <i>and</i> terrible things by the Red sea.",""
27159,29,0,"Therefore he said that he would destroy them, had not Moses his chosen stood before him in the breach, to turn away his wrath, lest he should destroy them.","Therefore he said that he would destroy them, had not Moses his chosen stood before him in the breach, to turn away his wrath, lest he should destroy <i>them</i>.",""
27160,11,0,"Yea, they despised the pleasant land, they believed not his word:","Yea, they despised the pleasant land, they believed not his word:",""
27161,14,0,"But murmured in their tents, and hearkened not unto the voice of the LORD.","But murmured in their tents, <i>and</i> hearkened not unto the voice of the L<font size=""-1"">ORD</font>.",""
27162,14,0,"Therefore he lifted up his hand against them, to overthrow them in the wilderness:","Therefore he lifted up his hand against them, to overthrow them in the wilderness:",""
27163,15,0,"To overthrow their seed also among the nations, and to scatter them in the lands.","To overthrow their seed also among the nations, and to scatter them in the lands.",""
27164,13,0,"They joined themselves also unto Baal-peor, and ate the sacrifices of the dead.","They joined themselves also unto Baal–peor, and ate the sacrifices of the dead.",""
27165,16,0,"Thus they provoked him to anger with their inventions: and the plague brake in upon them.","Thus they provoked <i>him</i> to anger with their inventions: and the plague brake in upon them.",""
27166,13,0,"Then stood up Phinehas, and executed judgment: and so the plague was stayed.","Then stood up Phinehas, and executed judgment: and <i>so</i> the plague was stayed.",""
27167,13,0,"And that was counted unto him for righteousness unto all generations for evermore.","And that was counted unto him for righteousness unto all generations for evermore.",""
27168,19,0,"They angered him also at the waters of strife, so that it went ill with Moses for their sakes:","They angered <i>him</i> also at the waters of strife, so that it went ill with Moses for their sakes:",""
27169,13,0,"Because they provoked his spirit, so that he spake unadvisedly with his lips.","Because they provoked his spirit, so that he spake unadvisedly with his lips.",""
27170,12,1,"They did not destroy the nations, concerning whom the LORD commanded them:","¶They did not destroy the nations, concerning whom the L<font size=""-1"">ORD</font> commanded them:",""
27171,10,0,"But were mingled among the heathen, and learned their works.","But were mingled among the heathen, and learned their works.",""
27172,11,0,"And they served their idols: which were a snare unto them.","And they served their idols: which were a snare unto them.",""
27173,10,0,"Yea, they sacrificed their sons and their daughters unto devils,","Yea, they sacrificed their sons and their daughters unto devils,",""
27174,29,0,"And shed innocent blood, even the blood of their sons and of their daughters, whom they sacrificed unto the idols of Canaan: and the land was polluted with blood.","And shed innocent blood, <i>even</i> the blood of their sons and of their daughters, whom they sacrificed unto the idols of Canaan: and the land was polluted with blood.",""
27175,16,0,"Thus were they defiled with their own works, and went a whoring with their own inventions.","Thus were they defiled with their own works, and went a whoring with their own inventions.",""
27176,18,0,"Therefore was the wrath of the LORD kindled against his people, insomuch that he abhorred his own inheritance.","Therefore was the wrath of the L<font size=""-1"">ORD</font> kindled against his people, insomuch that he abhorred his own inheritance.",""
27177,18,0,"And he gave them into the hand of the heathen; and they that hated them ruled over them.","And he gave them into the hand of the heathen; and they that hated them ruled over them.",""
27178,14,0,"Their enemies also oppressed them, and they were brought into subjection under their hand.","Their enemies also oppressed them, and they were brought into subjection under their hand.",""
27179,20,0,"Many times did he deliver them; but they provoked him with their counsel, and were brought low for their iniquity.","Many times did he deliver them; but they provoked <i>him</i> with their counsel, and were brought low for their iniquity.",""
27180,10,0,"Nevertheless he regarded their affliction, when he heard their cry:","Nevertheless he regarded their affliction, when he heard their cry:",""
27181,16,0,"And he remembered for them his covenant, and repented according to the multitude of his mercies.","And he remembered for them his covenant, and repented according to the multitude of his mercies.",""
27182,14,0,"He made them also to be pitied of all those that carried them captives.","He made them also to be pitied of all those that carried them captives.",""
27183,26,0,"Save us, O LORD our God, and gather us from among the heathen, to give thanks unto thy holy name, and to triumph in thy praise.","Save us, O L<font size=""-1"">ORD</font> our God, and gather us from among the heathen, to give thanks unto thy holy name, <i>and</i> to triumph in thy praise.",""
27184,22,0,"Blessed be the LORD God of Israel from everlasting to everlasting: and let all the people say, Amen. Praise ye the LORD.","Blessed <i>be</i> the L<font size=""-1"">ORD</font> God of Israel from everlasting to everlasting: and let all the people say, Amen. Praise ye the L<font size=""-1"">ORD</font>.",""
